"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.80946e+003,-9.84920e+001,4.09927e-001,2.25859e+000,8.68420e+000,1.22304e+001,6.64392e-001,1,2.44000e+002,-1.75600e+003,6.50000e+001,6.50000e+001
-7.80909e+003,-9.84414e+001,3.64428e-001,2.15237e+000,8.69210e+000,1.22186e+001,6.65523e-001,1,2.48000e+002,-1.75200e+003,6.50000e+001,6.50000e+001
-7.80872e+003,-9.83907e+001,3.18929e-001,2.04614e+000,8.70000e+000,1.22069e+001,6.66654e-001,1,2.52000e+002,-1.74800e+003,6.50000e+001,6.50000e+001
-7.80835e+003,-9.83401e+001,2.73430e-001,1.93992e+000,8.70789e+000,1.21951e+001,6.67786e-001,1,2.56000e+002,-1.74400e+003,6.50000e+001,6.50000e+001
-7.80798e+003,-9.82895e+001,2.27931e-001,1.83369e+000,8.71579e+000,1.21833e+001,6.68917e-001,1,2.60000e+002,-1.74000e+003,6.50000e+001,6.50000e+001
-7.80761e+003,-9.82389e+001,1.82432e-001,1.72747e+000,8.72369e+000,1.21716e+001,6.70048e-001,1,2.64000e+002,-1.73600e+003,6.50000e+001,6.50000e+001
-7.80725e+003,-9.81883e+001,1.36933e-001,1.62124e+000,8.73159e+000,1.21598e+001,6.71180e-001,1,2.68000e+002,-1.73200e+003,6.50000e+001,6.50000e+001
-7.80688e+003,-9.81377e+001,9.14340e-002,1.51502e+000,8.73948e+000,1.21480e+001,6.72311e-001,1,2.72000e+002,-1.72800e+003,6.50000e+001,6.50000e+001
-7.80651e+003,-9.80870e+001,4.59351e-002,1.40879e+000,8.74738e+000,1.21363e+001,6.73442e-001,1,2.76000e+002,-1.72400e+003,6.50000e+001,6.50000e+001
-7.80614e+003,-9.80364e+001,4.36161e-004,1.30257e+000,8.75528e+000,1.21245e+001,6.74574e-001,1,2.80000e+002,-1.72000e+003,6.50000e+001,6.50000e+001
-7.80577e+003,-9.79858e+001,-4.50628e-002,1.19635e+000,8.76318e+000,1.21127e+001,6.75705e-001,1,2.84000e+002,-1.71600e+003,6.50000e+001,6.50000e+001
-7.80540e+003,-9.79352e+001,-9.05617e-002,1.09012e+000,8.77107e+000,1.21010e+001,6.76836e-001,1,2.88000e+002,-1.71200e+003,6.50000e+001,6.50000e+001
-7.80552e+003,-9.78827e+001,-1.36088e-001,9.85833e-001,8.77884e+000,1.20927e+001,6.77894e-001,1,2.92000e+002,-1.70800e+003,6.50000e+001,6.50000e+001
-7.80613e+003,-9.78282e+001,-1.81643e-001,8.83479e-001,8.78649e+000,1.20879e+001,6.78879e-001,1,2.96000e+002,-1.70400e+003,6.50000e+001,6.50000e+001
-7.80674e+003,-9.77738e+001,-2.27198e-001,7.81125e-001,8.79413e+000,1.20831e+001,6.79863e-001,1,3.00000e+002,-1.70000e+003,6.50000e+001,6.50000e+001
-7.80735e+003,-9.77193e+001,-2.72752e-001,6.78771e-001,8.80177e+000,1.20783e+001,6.80848e-001,1,3.04000e+002,-1.69600e+003,6.50000e+001,6.50000e+001
-7.80796e+003,-9.76648e+001,-3.18307e-001,5.76418e-001,8.80941e+000,1.20735e+001,6.81833e-001,1,3.08000e+002,-1.69200e+003,6.50000e+001,6.50000e+001
-7.80857e+003,-9.76104e+001,-3.63861e-001,4.74064e-001,8.81706e+000,1.20687e+001,6.82817e-001,1,3.12000e+002,-1.68800e+003,6.50000e+001,6.50000e+001
-7.80918e+003,-9.75559e+001,-4.09416e-001,3.71710e-001,8.82470e+000,1.20639e+001,6.83802e-001,1,3.16000e+002,-1.68400e+003,6.50000e+001,6.50000e+001
-7.80979e+003,-9.75015e+001,-4.54970e-001,2.69356e-001,8.83234e+000,1.20591e+001,6.84786e-001,1,3.20000e+002,-1.68000e+003,6.50000e+001,6.50000e+001
-7.81006e+003,-9.74923e+001,-4.51269e-001,2.83589e-001,8.83691e+000,1.20468e+001,6.85863e-001,1,3.24000e+002,-1.67600e+003,6.50000e+001,6.50000e+001
-7.81033e+003,-9.74832e+001,-4.47568e-001,2.97822e-001,8.84147e+000,1.20345e+001,6.86940e-001,1,3.28000e+002,-1.67200e+003,6.50000e+001,6.50000e+001
-7.81060e+003,-9.74741e+001,-4.43867e-001,3.12055e-001,8.84604e+000,1.20222e+001,6.88018e-001,1,3.32000e+002,-1.66800e+003,6.50000e+001,6.50000e+001
-7.81087e+003,-9.74649e+001,-4.40166e-001,3.26288e-001,8.85060e+000,1.20099e+001,6.89095e-001,1,3.36000e+002,-1.66400e+003,6.50000e+001,6.50000e+001
-7.81115e+003,-9.74558e+001,-4.36465e-001,3.40521e-001,8.85516e+000,1.19976e+001,6.90172e-001,1,3.40000e+002,-1.66000e+003,6.50000e+001,6.50000e+001
-7.81142e+003,-9.74467e+001,-4.32763e-001,3.54754e-001,8.85973e+000,1.19853e+001,6.91249e-001,1,3.44000e+002,-1.65600e+003,6.50000e+001,6.50000e+001
-7.81169e+003,-9.74375e+001,-4.29062e-001,3.68987e-001,8.86429e+000,1.19730e+001,6.92326e-001,1,3.48000e+002,-1.65200e+003,6.50000e+001,6.50000e+001
-7.81196e+003,-9.74284e+001,-4.25361e-001,3.83220e-001,8.86886e+000,1.19607e+001,6.93403e-001,1,3.52000e+002,-1.64800e+003,6.50000e+001,6.50000e+001
-7.81223e+003,-9.74193e+001,-4.21660e-001,3.97453e-001,8.87342e+000,1.19485e+001,6.94480e-001,1,3.56000e+002,-1.64400e+003,6.50000e+001,6.50000e+001
-7.81251e+003,-9.74101e+001,-4.17959e-001,4.11686e-001,8.87798e+000,1.19362e+001,6.95557e-001,1,3.60000e+002,-1.64000e+003,6.50000e+001,6.50000e+001
-7.81278e+003,-9.74010e+001,-4.14258e-001,4.25919e-001,8.88255e+000,1.19239e+001,6.96635e-001,1,3.64000e+002,-1.63600e+003,6.50000e+001,6.50000e+001
-7.81305e+003,-9.73919e+001,-4.10556e-001,4.40152e-001,8.88711e+000,1.19116e+001,6.97712e-001,1,3.68000e+002,-1.63200e+003,6.50000e+001,6.50000e+001
-7.81354e+003,-9.73869e+001,-4.08699e-001,4.52120e-001,8.89140e+000,1.18999e+001,6.98789e-001,1,3.72000e+002,-1.62800e+003,6.50000e+001,6.50000e+001
-7.81425e+003,-9.73860e+001,-4.08686e-001,4.61822e-001,8.89543e+000,1.18888e+001,6.99868e-001,1,3.76000e+002,-1.62400e+003,6.50000e+001,6.50000e+001
-7.81496e+003,-9.73851e+001,-4.08673e-001,4.71524e-001,8.89945e+000,1.18777e+001,7.00946e-001,1,3.80000e+002,-1.62000e+003,6.50000e+001,6.50000e+001
-7.81566e+003,-9.73843e+001,-4.08659e-001,4.81227e-001,8.90347e+000,1.18667e+001,7.02024e-001,1,3.84000e+002,-1.61600e+003,6.50000e+001,6.50000e+001
-7.81637e+003,-9.73834e+001,-4.08646e-001,4.90929e-001,8.90749e+000,1.18556e+001,7.03103e-001,1,3.88000e+002,-1.61200e+003,6.50000e+001,6.50000e+001
-7.81708e+003,-9.73826e+001,-4.08633e-001,5.00632e-001,8.91151e+000,1.18445e+001,7.04181e-001,1,3.92000e+002,-1.60800e+003,6.50000e+001,6.50000e+001
-7.81779e+003,-9.73817e+001,-4.08619e-001,5.10334e-001,8.91553e+000,1.18335e+001,7.05259e-001,1,3.96000e+002,-1.60400e+003,6.50000e+001,6.50000e+001
-7.81850e+003,-9.73808e+001,-4.08606e-001,5.20037e-001,8.91955e+000,1.18224e+001,7.06338e-001,1,4.00000e+002,-1.60000e+003,6.50000e+001,6.50000e+001
-7.81854e+003,-9.73706e+001,-4.11427e-001,5.08215e-001,8.91894e+000,1.18048e+001,7.07415e-001,1,4.04000e+002,-1.59600e+003,6.50000e+001,6.50000e+001
-7.81858e+003,-9.73604e+001,-4.14249e-001,4.96393e-001,8.91833e+000,1.17872e+001,7.08492e-001,1,4.08000e+002,-1.59200e+003,6.50000e+001,6.50000e+001
-7.81863e+003,-9.73502e+001,-4.17070e-001,4.84571e-001,8.91771e+000,1.17697e+001,7.09570e-001,1,4.12000e+002,-1.58800e+003,6.50000e+001,6.50000e+001
-7.81867e+003,-9.73399e+001,-4.19892e-001,4.72749e-001,8.91710e+000,1.17521e+001,7.10647e-001,1,4.16000e+002,-1.58400e+003,6.50000e+001,6.50000e+001
-7.81871e+003,-9.73297e+001,-4.22713e-001,4.60927e-001,8.91648e+000,1.17345e+001,7.11724e-001,1,4.20000e+002,-1.58000e+003,6.50000e+001,6.50000e+001
-7.81876e+003,-9.73195e+001,-4.25535e-001,4.49104e-001,8.91587e+000,1.17169e+001,7.12801e-001,1,4.24000e+002,-1.57600e+003,6.50000e+001,6.50000e+001
-7.81880e+003,-9.73093e+001,-4.28356e-001,4.37282e-001,8.91526e+000,1.16994e+001,7.13879e-001,1,4.28000e+002,-1.57200e+003,6.50000e+001,6.50000e+001
-7.81884e+003,-9.72990e+001,-4.31178e-001,4.25460e-001,8.91464e+000,1.16818e+001,7.14956e-001,1,4.32000e+002,-1.56800e+003,6.50000e+001,6.50000e+001
-7.81889e+003,-9.72888e+001,-4.33999e-001,4.13638e-001,8.91403e+000,1.16642e+001,7.16033e-001,1,4.36000e+002,-1.56400e+003,6.50000e+001,6.50000e+001
-7.81893e+003,-9.72786e+001,-4.36821e-001,4.01816e-001,8.91342e+000,1.16466e+001,7.17110e-001,1,4.40000e+002,-1.56000e+003,6.50000e+001,6.50000e+001
-7.81897e+003,-9.72684e+001,-4.39642e-001,3.89994e-001,8.91280e+000,1.16291e+001,7.18188e-001,1,4.44000e+002,-1.55600e+003,6.50000e+001,6.50000e+001
-7.81902e+003,-9.72582e+001,-4.42464e-001,3.78172e-001,8.91219e+000,1.16115e+001,7.19265e-001,1,4.48000e+002,-1.55200e+003,6.50000e+001,6.50000e+001
-7.81915e+003,-9.72481e+001,-4.45315e-001,3.66293e-001,8.91267e+000,1.15973e+001,7.20305e-001,1,4.52000e+002,-1.54800e+003,6.50000e+001,6.50000e+001
-7.81937e+003,-9.72383e+001,-4.48195e-001,3.54357e-001,8.91426e+000,1.15864e+001,7.21310e-001,1,4.56000e+002,-1.54400e+003,6.50000e+001,6.50000e+001
-7.81959e+003,-9.72284e+001,-4.51076e-001,3.42422e-001,8.91584e+000,1.15756e+001,7.22314e-001,1,4.60000e+002,-1.54000e+003,6.50000e+001,6.50000e+001
-7.81981e+003,-9.72186e+001,-4.53956e-001,3.30486e-001,8.91742e+000,1.15647e+001,7.23318e-001,1,4.64000e+002,-1.53600e+003,6.50000e+001,6.50000e+001
-7.82003e+003,-9.72087e+001,-4.56836e-001,3.18550e-001,8.91900e+000,1.15539e+001,7.24322e-001,1,4.68000e+002,-1.53200e+003,6.50000e+001,6.50000e+001
-7.82025e+003,-9.71989e+001,-4.59717e-001,3.06614e-001,8.92058e+000,1.15430e+001,7.25326e-001,1,4.72000e+002,-1.52800e+003,6.50000e+001,6.50000e+001
-7.82047e+003,-9.71891e+001,-4.62597e-001,2.94678e-001,8.92216e+000,1.15322e+001,7.26330e-001,1,4.76000e+002,-1.52400e+003,6.50000e+001,6.50000e+001
